2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
379757,402124,435438,408874,391637,391499,269465,242417,278956,342392,388876
376270,401876,437093,411801,395445,396205,289608,237017,273515,337274,379403
369455,397216,431382,408404,392483,393737,311763,229579,264530,329269,368590
359977,390272,422071,397912,384465,383148,325648,223266,253335,315569,344179
352142,385176,415402,392293,380016,375161,336926,222260,247373,302634,330751
353844,384825,418168,395736,382984,376769,348628,222917,246323,296541,325445
351821,384002,410868,399105,386307,375608,355862,224770,245912,291345,322432
346971,380668,402213,398365,384220,370671,355041,222335,241953,281964,318657
349137,378020,406498,402518,390559,377007,368021,228659,245253,279910,327798
344199,375978,402505,410432,390125,374200,368982,228194,238447,271024,322235
337031,374018,399561,419369,393122,374281,373413,235230,235723,268810,322608
334379,373754,398876,425858,399800,381209,379553,248556,239939,273437,333834
