rok,zjistenych,stihanych,zeny,paragraf,nezamPctMPSV,pocEvid,novHl
2016,10611,neznámo,neznámo,§ 196,"5,55",405957,564384
2015,12089,10704,1322,,"6,51",478875,601951
2014,13939,12494,1446,,"7,7",561437,643359
2013,14726,13280,1372,,"7,68",564448,614505
2012,14209,12800,1358,,"8,6",504381,589368
2011,15301,13786,1516,,"8,57",507779,657717
2010,14662,13367,1287,,"9,1",528750,751169
2009,11987,10922,neznámo,§ 213,"7,98",465576,823989
2008,10118,9183,neznámo,,"5,45",324575,578302
2007,10253,9164,neznámo,,"6,62",392777,558545
2006,11571,10397,neznámo,,"8,13",474790,610730
2005,12351,11162,neznámo,,"8,96",514310,638206
2004,13094,11775,neznámo,,"9,19",537426,674359
2003,12671,11437,neznámo,,"9,9",521583,666276
2002,12558,11256,neznámo,,"9,15",477466,677374
2001,11419,9990,neznámo,,"8,54",443826,653585
2000,12055,10565,neznámo,,"9,02",469967,668158
